Departamentos,Valor
Caqueta,95093.64518
Narino,72111.11111
Putumayo,50000
Cauca,181111.1111
Bolivar,124603.1746
Cordoba,130098.0392
Magdalena,130152.381
Sucre,103035.7143
Atlantico,145873.0159
Guajira,95093.64518
Cesar,106746.5278
Santander,74916.66667
N de Santander,58444.44444
Tolima,82700
Huila,101666.6667
Caldas,95093.64518
Quindio,95093.64518
Risaralda,95093.64518
Meta,96111.11111
Casanare,74166.66667
Vichada,95093.64518
Arauca,95093.64518
Boyaca,52430.60109
Cundinamarca,46916.66667
Antioquia,56623.93162
Valle del Cauca,119071.4286
Amazonas,95093.64518
Choco,95093.64518
San Andres,95093.64518
Guaviare,95093.64518
Vaupes,95093.64518
Guainia,95093.64518
