Producto,Medidas,Linea
VETALOG,"

10 mg.","Bovinos, Equinos, Caninos, Felinos"
GANASEG,"

50 mg.","Bovinos, Equinos y Caninos"
PLEBEX INYECTABLE,"


10 mg
2 mg
100 mg
5 mg
5 mg",No informa
TINTURA DE YODO,"

2 g
2,4 g",No aplica
ATROPINA ZOO INYECTABLE,"

1 mg.",No informa
JABÓN ICTIOL,"


1 g",NO APLICA
ZOO CALCIN TABLETAS,"


400,0 mg
35 mg
10 mg
20.000 Ul
34.000 Ul",Caninos
ZOO-HEMATIN N.F.,"
50 mcg
2.0 mcg
10 mg
5.0 mg
5.0 mg
80.0 mg
2.5 mg",No informa
POMADA ALFA,"


1.0g
5.0g
3.0g
10.0g
3.0g","Bovinos, Equinos, Ovinos, Caprinos, Porcinos, Caninos y Felinos"
ESTRO ZOO,"


2.5 mg.","Bovinos, Equinos, Porcinos y Ovinos"
CANIVEX GOTAS,"


10 mg
2 mg
1 mg
2 mg
5000 Ul
1000 Ul
20 mcg
150 mg
50 mg",
ZOO-MICINA,"

1,05 g
0,01 g
12,0 g
0,90 g","Bovinos, ovinos, porcinos, caninos, felinos"
ZOO-VIT N.F.,"

15 mg
50 mg
150 µg
150 mg
50 g
",Bovinos y equinos
ZOO-VITAN 12 N.F.,"

10 mg
2.5 mg
25 mg
80 mg
5 mg
25 mcg","Equinos, Bovinos, Porcinos, Ovinos, Caprinos y Caninos"
SUPRONAL,"

35,7 g
35,7 g","Bovinos, Ovinos, Equinos, Porcinos y Aves"
BELAMYL-R,"

10 mg
3 mg
100 mg

250 mcg","Bovinos, equinos, ovinos, porcinos y caninos"
ZOO-VITAN 12 N.F.,"

10 mg
2.5 mg
25 mg
80 mg
5 mg
25 mcg","Equinos, Bovinos, Porcinos, Ovinos, Caprinos y Caninos"
SUPRONAL,"


35,7 g
35,7 g","Bovinos, Ovinos, Equinos, Porcinos y Aves"
BELAMYL-R,"



10 mg
3 mg
100 mg

250 mcg","Bovinos, equinos, ovinos, porcinos y caninos"
DIPROCAR,,
COLVIT A ,,
FLUNYHIT INYECTABLE,,
,,
TILMICOVET PREMIX,,
FENIFLOR INYECTABLE ,,
FOSFOAVIC 25%,,
SISATRIM POLVO SOLUBLE,,
TORVITRAZ,,
ISAPEN MK,,
OTOCURE,,
ZERABOL,,
"BROMHEXINA 0,5 %",,
,,
TILOMIX INYECTABLE,,
CIPROMIX - 20,,
RIBOFOLINA ORAL,,
COMPLEJO B,,
KAVIMAX,,
,,
BIOFLOX INYECTABLE,,
ECTOPRIN,,
BIOMECTIN 3015% L.A,,
BELAMYL-R INYECTABLE,"


10 mg
3 mg
100 mg
50 μg","Bovinos, equinos, porcinos, caninos"
CIPROVIC,,
TETRAPLUS 15%,,
DERMOHEX CHAMPU,,
"ACARIX 20,8",,
SYNTOMICINA OXI 20/20,,
,,
PIGFEN 300 INYECTABLE,,
UNGÜENTO CELLS,,
DRAVAFOS,,
BIONEUTROL LIQUIDO,,
LAZARVIT,,
GLOVIVET,,
REASTEN VET,"


30 g

67,59 g",Bovinos y Equinos
OXITETRACICLINA,,
"MELOXIC 0,5%",,
HIERRO DEXTRAN,"


100 mg",Porcinos
BIONEUTROL POLVO,,
MELOXIC 2%,,
MEBENDAZOL 90%,,
INSUDEX,,
ADEMAX 500 SOLUCION INYECTABLE,,
,,
,,
TILCOMIX INYECTABLE,,
TOLTRAZYL ORAL,,
AMINO AVIC SOLUCION ORAL,,
,,
SULFAMETAZINA SODICA 90%,,
MASTITIS REACTIVO,,
CITRALARV,,
SULFAMETAZINA INYECTABLE,"

25 g","Bovinos, Equinos, Porcinos, Ovinos, Caninos y Aves"
CARBACHOL,"


0,1 g","Bovinos, Equinos, Porcinos, Ovinos, Caninos y Felinos"
TILCOMIX PREMIX,,
SULGEN 100,,
ZADOK,,
GOTAS MERIS,"


125 mg",Aves
TILCOSIN PREMIX,,
ALMET GEL,,
AGNIMUTIN PREMIX,,
"ROBENIDINA 6,6 % PREMIX",,
FAMETAZIN,,
ALMETRIN SC 60,,
FORMALNEST,,
NARAZINA + NICARBAZINA 80/80,,
,,
DEFENDOG,,
"CLOPIDOL + METHILBENZOQUATO 20+1,67%",,
CIPERMETRINA 15 EC,,
FRONIL SPRAY,,
DOXICICLINA 100,,
GLUCONATO DE CALCIO ,"


200 mg","Bovinos, Ovinos, Equinos, Porcinos y caninos"
LAKTO. +,,
MONEMIX 20%,,
LARVIBLAS,,
FORTAVES - E,,
CLURSOL,,
ULRANIT 70,,
FORTAVES L-M,,
FERROPLEX CU,,
FERMOMARKA,,
CASQUITRAN,,
VITARSAN INYECTABLE ,"


40 mg

113 mg",Equinos
DELMOX 300,,
IVERCHEM EQUINOS,,
DOLOMEX G.A.,,
BIODIPEN BZ,,
FULLVIT,,
DESCENSOR VET,,
NAQUAHIT,,
DESCENSOR 10%,,
MULTIFOR 11,,
PANATOX,,
NEXAETHION E.C. 83%,,
"NEXAMITRAZ E.C. 20,8%",,
VETERBIÓTICO,"


100.000Ul
300.000Ul","Bovinos, Equinos, Porcinos, Ovinos y Caninos"
CREOVET,,
VETAMIDIUM,,
,,
CAN - AMOR SPOT - ON,,
CINCOFERT N.F.,,
QUIMFAR XX-22 INYECTABLE,"


3.35 g","Bovinos, Equinos y Porcinos"
MITRA,,
ENERFOS,,
DERMATOSYN CREMA,,
FOXTON,,
TICLORVET,,
FASYHIT SUSPENSION ORAL,,
ARECOLINA,"


0,050 g","Bovinos, Equinos, Porcinos y Ovinos"
GLUCONATO DE CALCIO AL 20%,"



20 g","Bovinos, Equinos, Porcinos, Caprinos, Ovinos y Caninos"
HORMOFISINA,"


10 Ul","Bovinos, Caninos, Equinos, Ovinos, Porcinos"
ERMAFOS,"


20 g 
10g
4.3 g

8.4 g",Bovinos y Equinos
GLUCONATO DE CALCIO (TABLETAS),"


89 mg
5.000 U.l.",Caninos
UNGÜENTO N° 100,"


3,0 g
1,5 g
3,5 g",Bovinos
OXITETRACICLINA MK 50 mg (INYECTABLE),"


50 mg.","Bovinos, Equinos, Porcinos, Ovinos y Caninos"
CARDIOTON,"


10 g
5 g","Bovinos, equinos, ovinos, porcinos y caninos"
VIGAERMA,"

500.000 Ul
","Bovinos, Equinos, Porcinos y Ovinos."
MAMITOLINA UNGÜENTO,"


1 g
3 g
3 g
0,25 g",Bovinos
LINIMENTO BLANCO,"

6 mL
20 mL
1,5 g
2,25 g
2,25 g","Bovinos, Equinos"
SANUBROL,"


1,5 g
1,5 g
1,0 g",Bovinos y Equinos
COLISAN,"


1 mg","Bovinos, Caprinos, Equinos, Porcinos y Ovinos"
OLEOFEROL,"


12.000 Ul","Equinos, Bovinos, Porcinos, Caninos y Felinos"
AZTECA,"


3000 Ul
51,6 g
7,5 g
20 g
0,028 g
0,132 g
0,043 g
0,26 g
10, 44 g","Bovinos, Porcinos, Equinos,Ovinos, Caninos y Aves"
BIODIN,"


9,2 g",Bovinos
EDO VIT12,"


10,000 ug
7,46 g","Bovinos, Equinos, Porcinos"
ESPECIFICO COOPERS,"

15 g",No aplica
DILARVON ORAL,"

3.2 g","Bovinos, Ovinos y Caprinos"
ROMADE INYECTABLE,"


500.000 Ul","Bovinos, Equinos, Porcinos y Ovinos"
DIPIRINA,"


500 mg","Bovinos, Caninos, Equinos y Porcinos"
EDO F-32,"


32 g
32 mg
4,4 g
80 mg","Bovinos, Equinos, Ovinos, Caprinos y Porcinos"
OXITOCINA SINTÉTICA,"


10 U.l.","Bovinos, Caninos, Equinos, Felinos, Porcinos"
KAPECTIL VET,"


66 g
25 g
2 g
0,03 g
0,36 g
0,28 g
","Bovinos, Ovinos, Equinos, Porcinos y Caninos"
ESTREPTOPENICILIN,"

300.000 Ul
400 mg","Bovinos, Equinos, Porcinos, Ovinos y Caninos"
VITAMINA K,"


10 mg
",No informa
CANIBIOTICO CAPSILAS,"

250 mg.",Caninos y Felinos
REVEVET,"


100 mg

50 mg",Bovinos
CASQUIL,"

88 g 
7 g
5 g",Bovinos y Equinos
BIOCALAN,"


500.000 Ul",Bovinos
SOLADEC-A,"


500.000 UI
50 UI","Bovinos, Porcinos, Ovinos"
COLIRIO ZOO,"

5 mg.
1.44 mg.
5 mg.",No informa
LIDOCAINA E,"


2 g",Todas las especies animales
SULFARRINOL,"


20,0 g
17,5 g
2,5 g","Bovinos, equinos, ovinos, porcinosy caninos"
BOVIMICIN,"


40 mg
15.000 Ul",Bovinos
ROMADE ORAL,"


500.000 Ul","Bovinos, Equinos, Porcinos, Ovinos y  Caprinos"
MAIZ ANTIBIOTICO (TABLETAS),"

11,54 mg.",Aves
LIDOCAINA E,"


20 mg
0,01 mg",Todas las especies animales
DILARVON AVICOLA,"


39,2 g",Aves
TRANQUILAN INYECTABLE,"

10 mg.","Equinos, Caninos y Felinos"
TRANQUILAN TABLETAS,"

10 mg",Caninos y Felinos
CHAMPÚ V.M.,"


0,5 g","Equino, Caninos y Felinos"
JABON V.M,"


1,0 g",Caninos
DYNAMUTILIN POLVO SOLUBLE,"


45g",Porcinos y Aves
REUMATOL UNGÜENTO,"


5 g
6 g
5 g
6 g
3,5 g","Equnos, Bovinos, Caninos, Ovinos, Porcinos y Caprinos"
KANAMISYN AVES,"


50 mg",Aves
SANASEC,"


1 g
1 g","Bovinos, Equinos, Ovinos y Caprinos."
SUERO FISIOLOGICO,"


0,9 g",Bovinos y Equinos
HIPPOTAL,"


20 g",Equinos
"VITAMINA A MK 500,000 U.I INYECTABLE","


500.000 UI","Bovinos, Equinos, Porcinos y Ovinos"
POLIVITAMINICO,"
5.000.000 U.I
500.000 U.I
7.500 U.I
3 g
50 g
2g
5 mg
500 mg
1,5 g
7,5 g
3,5 g",Aves
DEXTROSA AL 10% VITAMINIZADA,"


50 g
50 mg
25 mcg
2,5 mg
50 mg",Equinos y Bovinos
DALIVITAL,"


        10 g
   0.007 g","Bovinos, Equinos, Porcinos, Canino y Felinos"
TINTURA DE YODO,"


2,0 g
2,4 g
50 mL",No aplica
NEO - BACTERIOL,"


    15 mg
    30 mg
    30 mg
   0.5 mL
      1 mL ",No informa
MAIZ VERMIFUGO N.F. (TABLETAS),"


    22.5 mg",Aves
DEXTROSA AL 10 % EN AGUA DESTILADA,"


10 g",Equinos y Bovinos
SHAMPOO,"


    40 g
     3 g",Caninos
UNGÜENTO 1000,"


3 g
2,5 g
1,0 g
3,0 g
4,0 g",No informa
CALSYN VITAMINIZADO,"


20.833 mg
6,137 mg
4,744 mg
2,292 mg
50.000 Ul
13, 75 mg
14,71 mg
13,75 mg
192,5 mg
34, 4 mcg","Caninos, Felinos, Porcinos, Bovinos y Equinos"
QUIMOTRIPSYN  INYECTABLE,"


10.000 U.N.F.",No informa
GANAPLUS,"


70 mg
35 mg","Bovinos, Ovinos, Caprinos y Equinos"
TEMISOL ORAL,"


    3.2 g","Bovinos, Ovinos y Porcinos"
RAPIDYNE,"


    13.2 g",No aplica
TUSIVET JARABE,"



    200 mg.
        2 g.",Perros y Felinos
OXITETRACICLINA LIQUIDA,"

4.63 g","Bovinos, Equinos, Porcinos, Ovinos, Caprinos, Caninos, Aves y Felinos"
MASTIDYNE,"


      1 g",Bovinos
MICRODYNE,"


     6 g
",No aplica
TONIPROBIOL CON ELECTROLITOS,"


100 mg

69,5 mg

50 mg
50 mg
6 mg
0,4 mg
3 mg","Bovinos, Equinos, Porcinos, Ovinos y Caprinos"
FEMBAY,"

130 mg","Bovinos, Equinos y Perros"
DEXTROMIN B,"

125 mg.

125 mg.
20 mg.

25 mg.
20 mg.
5 g.
6 mg.
7 mg.
5 ug.
10 mg.
4.25 mg.
100 mg.
5 mg.
3.5 mg
3 mg.
4.5 mg.
5 mg.
6.5 mg.
7.5 mg.
10 mg.
12 mg.
7 mg.","Bovinos, Equinos y Caninos"
COLIRIO VM,"


    0.4 g","Caninos, Felinos, Equinos y Bovinos"
GESTRAN,"

    100  mg","Bovinos, Equinos, Ovinos, Porcinos y Caninos"
OXITETRACICLINA 50 mg,"


    50 mg","Bovinos, Equinos, Porcinos, Caprinos,  Caninos, Felinos y Aves"
"LEVAMISOL 7,5%","


    75 mg","Bovinos, Ovinos y Porcinos"
OXITETRACICLINA 100,"


    108 mg","Bovinos, Ovinos, Equinos, Porcinos, Caninos,  Felinos y Aves"
TRIPÉN L.A.,"


     62.500 U.l.
     62.500 U.l.
   125.000 U.l.","Bovinos, caninos, caprinos, equinos, felinos, ovinos y porcinos"
ELECTROZOO A ,"

55.8 g
20.3 g
18.1 g
5.8 g","Bovinos, Equinos y Porcinos"
ELECTROZOO B,"


    49.5 g
    43.5 g
         7 g","Bovinos, Equinos y Porcinos"
LEVAMISOL 7.5%,"


    7.5 g",Bovinos y Ovinos
PORCITAL,"

8 g",Porcinos
MICRODYNE JABON,"


45 g",No aplica
VACOL POMADA,"


10,34 g
9.00 g
7.70 g
1.25 g
0.05 g
","Bovinos, Equinos, Porcinos, Caprionos, Ovinos, Caninos, Felinos y Aves"
HEPATOGAN ,"
0,083 g","Bovinos, equinos, porcinos, Caninos y Felinos"
DEXAPEN,"

100.000 Ul
100.000 Ul
250 mg
0.7 mg
","Bovinos, Caninos, Caprinos, Equinos, Ovinos y Porcinos."
MARVEC H,"

  ≥4000 UFP",Aves
PULVEX  POLVO,"

1 g",Caninos y Felinos
ALFA 3,"

1.5 g.
7g
2g","Bovinos, Equinos, Porcinos, Cparinos, Ovinos y Caninos"
TRIMENDIAZINA SUSPENSION ORAL,"

40 g
8 g",Aves y Cerdos
