No REGISTRO,FECHA OTORGADO REGISTRO Y No RESOLUCION,FECHA MODIFICACION  Y Nª RESOLUCION,NOMBRE DEL PRODUCTO,NOMBRE EMPRESA,INGREDIENTE ACTIVO,CONCENTRACION,CAT TOXIC,CLASE DE PRODUCTO,TIPO FOR.,PAIS DE ORIGEN DEL PRODUCTO FORMULADO,CULTIVO,Name
1,06-05-2003 / 1021,09-03-2004/ 489,ROSOLFURON 600 WG,ROTAM AGROCHEMICAL COLOMBIA LTDA,METSUFURON METIL,600 g/kg,III,HERBICIDA,WG,CHINA COLOMBIA,ARROZ,Table3
2,24-09-2003 / 2639,"24-11-2011/ 4671
24-12-2012/ 5787
01-02-2017/ 746
20-12-2018/ 39346
28-08-2020/ 074427",ZELLUS®,ARYSTA LIFESCIENCE COLOMBIA S.A.S,BENOMIL,500 g/kg,III,FUNGICIDA,WP,FRANCIA CHINA INDIA,"ROSA ,FRIJOL, ARROZ, MARACUYA, TOMATE, GULUPA, GRANADILLA, BADEA, CHULUPA, CURUBA, UCHUVA, LULO TOMATE DE ARBOL, AJI, PIMENTON,
BERENJENA",Table3
3,04-10-2005 / 2851,"05-12-2011/ 4745
24-06-2013/ 2881
22-03-2017/ 3190
27-07-2019/ 10982",MANCOL® 430 SC,ARYSTA LIFESCIENCE COLOMBIA S.A.S,MANCOZEB,430 g/L,III,FUNGICIDA,SC,"FRANCIA COLOMBIA
CHINA","ARROZ, PAPA, ROSA, BANANO, FRIJOL",Table3
4,24-09-2003 / 2640,"14-04-2011/ 1691
21-11-2012/ 4760
31-01-2017/ 687
02-09-2020/ 074658",CARBENCAL®,ARYSTA LIFESCIENCE COLOMBIA S.A.S,CARBENDAZIM,500 g/L,III,FUNGICIDA,SC,CHINA INDIA FRANCIA,"ARROZ, ROSA, TOMATE",Table3
5,24-09-2003 / 2641,"07-05-2012/ 1210
10-05-2012/ 1269
24-06-2013/ 2884
15-08-2017/ 9921
26-08-2020/ 074267",PROPICAL®,ARYSTA LIFESCIENCE COLOMBIA S.A.S,PROPICONAZOL,250 g/L,II,FUNGICIDA,EC,CHINA – COLOMBIA – INDIA – FRANCIA,"ARROZ, CAFÉ, PAPA",Table3
6,01-10-2003 / 2714,,ROTAPRID 35 SC,ROTAM AGROCHEMICAL COLOMBIA LTDA,IMIDACLOPRID,350.0 g/L,II,INSECTICIDA,SC,CHINA,ARROZ,Table3
7,01-10-2003 / 2713,"14-04-2004/ 067
10-10-2016/ 13877
22-08-2018/ 30602",KUIK® 40 SP,ROTAM AGROCHEMICAL COLOMBIA S.A.S .,METHOMYL,400 g/kg,I B,INSECTICIDA,SP,CHINA,"ALGODÓN, ARROZ, PAPA",Table3
8,26-09-2003 / 2648,"01-01-2019/ 0011
17-11-2019/ 18400",AVOID 1.8% EC,TECNOQUIMICAS  S.A,ABAMECTINA,0.018,II,INSECTICIDA,EC,CHINA,"ROSA, AJI, AJI DULCE, BERENJENA, TOMATE, UCHUVA",Table3
9,26-09-2003 / 2649,,SAAT BALLET 100 SC,SAAT ANDINA S.A.,BISPYRIBAC SODIUM,100 g/L,III,HERBICIDA,SC,CHINA,ARROZ,Table3
10,26-09-2003 / 2646,"31-05-2011/ 2413
07-06-2012/ 1687
24-06-2013/ 2883
08-02-2017/ 1088
21-08-2020/ 073984",CALLIQUAT ®,ARYSTA LIFESCIENCE COLOMBIA S.A.S,PARAQUAT,200 g/L,II,HERBICIDA,SL,"CHINA FRANCIA COLOMBIA
INDIA","CAFÉ, BANANO, ARROZ, TOMATE",Table3
11,26-09-2003 / 2645,"31-07-2007/ 2118
01-02-2017/ 724",CALRIZ,ARYSTA LIFESCIENCE COLOMBIA S.A.S,"PROPANIL + ,TRICLOPYR","380 ,40 g/L",II,HERBICIDA,EC,"FRANCIA CHINA
INDIA  COLOMBIA",ARROZ DE RIEGO O SECANO,Table3
12,30-09-2003 / 2696,10-12-2003/ 3461,KALLAD 60 WG,SAAT ANDINA S.A.,METSULFURON METIL,0.6,III,HERBICIDA,WG,CHINA,"POTREROS, ARROZ
CAÑA DE AZUCAR,  PALMA DE ACEITE",Table3
13,30-09-2003 / 2697,"11-05-2011/ 2025
16-12-2018/ 38618",SAAT FANDANGO 350 SC,SAAT ANDINA S.A.,IMIDACLOPRID,350 g/L,III,INSECTICIDA,SC,CHINA,"ALGODÓN, ARROZ, PASTOS, ROSA, CRISANTEMO, TOMATE, TABACO",Table3
,,08-05-2012/ 1226,,,,,,,,INDIA,,Table3
14,01-10-2003 / 2715,"28-06-2013/ 2970
31-01-2017/ 684",CIPEREX®,"ARYSTA LIFESCIENCE
COLOMBIA S.A.S",CYPERMETRINA,200 g/L,II,INSECTICIDA,EC,"CHINA
FRANCIA","ARROZ, PAPA,  FRIJOL",Table3
